train | 1:9.93709 | 2:4.44802 | 3:4.68491
train | 1:9.86047 | 2:4.14860 | 3:4.53154
train | 1:9.82389 | 2:4.10348 | 3:4.52864
train | 1:9.84325 | 2:4.36661 | 3:4.74975
train | 1:9.81163 | 2:4.24999 | 3:4.56727
train | 1:9.78584 | 2:3.97775 | 3:4.23649
train | 1:9.76937 | 2:4.07417 | 3:4.34148
train | 1:9.74130 | 2:4.10287 | 3:4.38009
train | 1:9.73417 | 2:4.11874 | 3:4.38635
train | 1:9.73553 | 2:4.21668 | 3:4.48956
train | 1:9.69304 | 2:4.01208 | 3:4.22703
train | 1:9.71315 | 2:4.21533 | 3:4.51840
train | 1:9.65572 | 2:4.07537 | 3:4.36431
train | 1:9.71602 | 2:4.48407 | 3:4.80609
train | 1:9.66038 | 2:4.30940 | 3:4.71670
train | 1:9.57932 | 2:4.01451 | 3:4.34343
train | 1:9.59399 | 2:3.99357 | 3:4.32501
train | 1:9.57120 | 2:4.15207 | 3:4.43852
train | 1:9.51680 | 2:3.96011 | 3:4.32839
train | 1:9.56454 | 2:4.46294 | 3:4.87580
train | 1:9.52822 | 2:4.20276 | 3:4.50922
train | 1:9.48532 | 2:4.06384 | 3:4.36073
train | 1:9.47455 | 2:3.91634 | 3:4.20286
train | 1:9.42464 | 2:3.92233 | 3:4.16784
train | 1:9.38606 | 2:3.64277 | 3:3.90473
train | 1:9.39029 | 2:4.07450 | 3:4.33693
train | 1:9.41584 | 2:4.20708 | 3:4.44852
train | 1:9.34215 | 2:3.98060 | 3:4.23221
train | 1:9.29835 | 2:3.93435 | 3:4.20422
train | 1:9.30821 | 2:3.95533 | 3:4.23406
train | 1:9.28394 | 2:4.05485 | 3:4.31470
train | 1:9.26297 | 2:4.08526 | 3:4.37181
train | 1:9.22622 | 2:4.00234 | 3:4.27480
train | 1:9.20164 | 2:4.04596 | 3:4.30154
train | 1:9.12923 | 2:3.90567 | 3:4.19632
train | 1:9.19466 | 2:4.09669 | 3:4.37862
train | 1:9.09273 | 2:3.88496 | 3:4.13111
train | 1:9.10676 | 2:4.02767 | 3:4.26450
train | 1:9.03319 | 2:3.82960 | 3:4.07219
train | 1:9.08703 | 2:4.19150 | 3:4.46567
train | 1:9.04072 | 2:4.05996 | 3:4.36561
train | 1:8.99084 | 2:4.03151 | 3:4.32581
train | 1:9.02779 | 2:4.14784 | 3:4.44219
train | 1:8.92251 | 2:3.99937 | 3:4.24334
train | 1:8.93280 | 2:4.13477 | 3:4.36853
train | 1:8.83360 | 2:3.86571 | 3:4.12112
train | 1:8.84068 | 2:3.86764 | 3:4.18977
train | 1:8.79373 | 2:3.83514 | 3:4.10981
train | 1:8.78972 | 2:4.07553 | 3:4.44169
train | 1:8.75525 | 2:4.04535 | 3:4.45557
train | 1:8.74455 | 2:4.05372 | 3:4.37195
train | 1:8.63101 | 2:3.79070 | 3:4.12710
train | 1:8.69402 | 2:3.99375 | 3:4.28192
train | 1:8.62391 | 2:3.91747 | 3:4.33852
train | 1:8.60695 | 2:3.77603 | 3:4.18203
train | 1:8.61671 | 2:3.87119 | 3:4.23183
train | 1:8.60496 | 2:4.01656 | 3:4.35003
train | 1:8.56271 | 2:3.74652 | 3:4.06946
train | 1:8.49396 | 2:3.82128 | 3:4.16620
train | 1:8.56927 | 2:4.08593 | 3:4.44070
train | 1:8.53410 | 2:4.09394 | 3:4.41321
train | 1:8.49678 | 2:3.92549 | 3:4.18050
train | 1:8.40769 | 2:3.82851 | 3:4.09066
train | 1:8.40410 | 2:3.87970 | 3:4.16832
train | 1:8.46434 | 2:4.08649 | 3:4.38399
train | 1:8.34716 | 2:3.79622 | 3:4.11543
train | 1:8.24763 | 2:3.65476 | 3:3.92708
train | 1:8.20720 | 2:3.49171 | 3:3.74357
train | 1:8.25910 | 2:3.84148 | 3:4.15556
train | 1:8.18916 | 2:3.61755 | 3:3.95096
train | 1:8.21732 | 2:3.88626 | 3:4.14584
train | 1:8.29746 | 2:4.00267 | 3:4.27232
train | 1:8.15213 | 2:3.67417 | 3:3.96780
train | 1:8.24021 | 2:4.18379 | 3:4.46260
train | 1:8.04549 | 2:3.75080 | 3:4.06769
train | 1:8.12965 | 2:3.81362 | 3:4.08424
train | 1:8.11882 | 2:3.87345 | 3:4.18433
train | 1:8.05897 | 2:3.79820 | 3:4.13542
train | 1:8.05250 | 2:3.86829 | 3:4.16617
train | 1:7.91969 | 2:3.68051 | 3:3.98651
train | 1:7.94116 | 2:3.98093 | 3:4.29235
train | 1:7.88856 | 2:3.65483 | 3:3.98652
train | 1:7.82489 | 2:3.66889 | 3:3.96639
train | 1:7.78409 | 2:3.72325 | 3:4.04929
train | 1:7.71105 | 2:3.57005 | 3:3.94384
val | 1:7.84980 | 2:3.91095 | 3:4.27341
train | 1:7.71555 | 2:3.66076 | 3:3.94440
train | 1:7.72392 | 2:3.76788 | 3:4.04314
train | 1:7.72777 | 2:3.81625 | 3:4.19628
train | 1:7.74015 | 2:3.73133 | 3:4.06598
train | 1:7.78400 | 2:4.00160 | 3:4.35022
train | 1:7.53226 | 2:3.56024 | 3:3.82875
train | 1:7.62712 | 2:3.72289 | 3:4.12814
train | 1:7.50952 | 2:3.64205 | 3:4.01177
train | 1:7.54481 | 2:3.69112 | 3:4.03143
train | 1:7.52941 | 2:3.71016 | 3:4.01680
train | 1:7.60757 | 2:3.86426 | 3:4.24272
train | 1:7.45295 | 2:3.61637 | 3:3.94686
train | 1:7.43546 | 2:3.72617 | 3:4.08429
train | 1:7.33526 | 2:3.57357 | 3:3.85081
train | 1:7.50138 | 2:3.93301 | 3:4.22239
train | 1:7.39899 | 2:3.70029 | 3:4.04171
train | 1:7.27581 | 2:3.56735 | 3:3.84614
train | 1:7.32423 | 2:3.60805 | 3:3.90874
train | 1:7.13735 | 2:3.39683 | 3:3.72985
train | 1:7.26161 | 2:3.63954 | 3:3.95993
train | 1:7.34045 | 2:3.69484 | 3:3.99379
train | 1:7.31664 | 2:3.90890 | 3:4.25560
train | 1:7.29404 | 2:3.79356 | 3:4.13922
train | 1:7.23178 | 2:3.90911 | 3:4.20417
train | 1:7.10489 | 2:3.60076 | 3:3.92857
train | 1:7.24654 | 2:3.86194 | 3:4.16182
train | 1:7.11244 | 2:3.64778 | 3:4.00795
train | 1:7.05586 | 2:3.65430 | 3:3.93501
train | 1:7.00498 | 2:3.66559 | 3:4.03928
train | 1:7.13082 | 2:3.89238 | 3:4.23197
train | 1:6.93286 | 2:3.50550 | 3:3.79375
train | 1:6.98567 | 2:3.67216 | 3:4.00562
train | 1:6.88031 | 2:3.55752 | 3:3.86489
train | 1:6.98826 | 2:3.77276 | 3:4.04875
train | 1:6.89396 | 2:3.62902 | 3:3.95642
train | 1:6.84677 | 2:3.62852 | 3:3.92383
train | 1:6.83861 | 2:3.59885 | 3:3.87806
train | 1:6.83889 | 2:3.76222 | 3:4.10378
train | 1:6.88570 | 2:3.80519 | 3:4.10886
train | 1:6.78492 | 2:3.68325 | 3:3.92691
train | 1:6.55526 | 2:3.21689 | 3:3.48972
train | 1:6.70467 | 2:3.66091 | 3:3.88528
train | 1:6.75419 | 2:3.69824 | 3:4.05124
train | 1:6.72979 | 2:3.80268 | 3:4.13829
train | 1:6.52040 | 2:3.50121 | 3:3.83242
train | 1:6.59289 | 2:3.58367 | 3:3.90824
train | 1:6.61843 | 2:3.73905 | 3:4.07148
train | 1:6.47797 | 2:3.45898 | 3:3.79796
train | 1:6.44378 | 2:3.43298 | 3:3.73067
train | 1:6.47606 | 2:3.40752 | 3:3.76093
train | 1:6.50449 | 2:3.64079 | 3:3.93617
