0 val 1:10.98923397064209 | 2:9.885680198669434
112 train 1:-7.143763065338135 | 2:-6.85228157043457
113 train 1:-7.503525733947754 | 2:-7.144482612609863
114 train 1:-7.203585624694824 | 2:-6.875929832458496
115 train 1:-6.877800464630127 | 2:-6.6551361083984375
116 train 1:-7.064325332641602 | 2:-6.797704696655273
117 train 1:-7.088780403137207 | 2:-6.832703590393066
118 train 1:-7.025866508483887 | 2:-6.769643783569336
119 train 1:-7.005023002624512 | 2:-6.791235446929932
120 train 1:-7.098933696746826 | 2:-6.841797351837158
121 train 1:-6.766548156738281 | 2:-6.610733509063721
122 train 1:-6.921969413757324 | 2:-6.726525783538818
123 train 1:-6.7416276931762695 | 2:-6.605616569519043
124 train 1:-6.998841285705566 | 2:-6.798864364624023
125 train 1:-6.972557544708252 | 2:-6.795068740844727
126 train 1:-6.814863681793213 | 2:-6.6342854499816895
127 train 1:-6.965798377990723 | 2:-6.784621238708496
128 train 1:-6.804893493652344 | 2:-6.665903091430664
129 train 1:-7.165225028991699 | 2:-6.915097236633301
130 train 1:-6.829220771789551 | 2:-6.701905727386475
131 train 1:-6.9667840003967285 | 2:-6.821189880371094
132 train 1:-6.829758644104004 | 2:-6.701507091522217
133 train 1:-6.904567718505859 | 2:-6.780313491821289
134 train 1:-7.046990394592285 | 2:-6.806262016296387
135 train 1:-6.847574710845947 | 2:-6.710263252258301
136 train 1:-6.877381324768066 | 2:-6.72987174987793
137 train 1:-6.883011817932129 | 2:-6.7641167640686035
138 train 1:-6.6868181228637695 | 2:-6.6097564697265625
139 train 1:-6.8577165603637695 | 2:-6.710308074951172
140 train 1:-7.054149627685547 | 2:-6.858410835266113
141 train 1:-7.047469615936279 | 2:-6.891435623168945
142 train 1:-6.55243444442749 | 2:-6.506433010101318
143 train 1:-7.00333833694458 | 2:-6.898032188415527
144 train 1:-6.783048629760742 | 2:-6.706727504730225
145 train 1:-6.927981376647949 | 2:-6.796004295349121
146 train 1:-6.916782855987549 | 2:-6.818359851837158
147 train 1:-6.956274509429932 | 2:-6.859671592712402
148 train 1:-6.8500752449035645 | 2:-6.785870552062988
149 train 1:-6.85823917388916 | 2:-6.778102874755859
150 train 1:-7.249006748199463 | 2:-7.024121284484863
151 train 1:-6.789951324462891 | 2:-6.759422302246094
152 train 1:-7.058738708496094 | 2:-6.89920711517334
153 train 1:-6.86566162109375 | 2:-6.770042419433594
154 train 1:-6.893495559692383 | 2:-6.835508823394775
155 train 1:-6.75694465637207 | 2:-6.704293251037598
156 train 1:-6.606224536895752 | 2:-6.6034722328186035
157 train 1:-7.251889228820801 | 2:-7.096215724945068
158 train 1:-7.038882255554199 | 2:-6.942633628845215
159 train 1:-6.698434829711914 | 2:-6.694897174835205
160 train 1:-6.878259658813477 | 2:-6.818382263183594
161 train 1:-6.547096252441406 | 2:-6.587597846984863
162 train 1:-6.68494987487793 | 2:-6.669800758361816
163 train 1:-6.769410133361816 | 2:-6.757991313934326
164 train 1:-6.669698715209961 | 2:-6.681345462799072
165 train 1:-6.621876239776611 | 2:-6.66064453125
166 train 1:-6.677126884460449 | 2:-6.696809768676758
167 train 1:-6.648438453674316 | 2:-6.637308120727539
168 train 1:-6.763045310974121 | 2:-6.731377601623535
169 train 1:-6.928683280944824 | 2:-6.841955661773682
170 train 1:-6.651097297668457 | 2:-6.724312782287598
171 train 1:-6.8470611572265625 | 2:-6.809009075164795
172 train 1:-6.640786647796631 | 2:-6.6632232666015625
173 train 1:-6.358335971832275 | 2:-6.430540084838867
174 train 1:-6.619593620300293 | 2:-6.648399353027344
175 train 1:-6.493054389953613 | 2:-6.6087565422058105
176 train 1:-6.690855026245117 | 2:-6.733124732971191
177 train 1:-6.651771068572998 | 2:-6.671099662780762
178 train 1:-6.476970672607422 | 2:-6.543578624725342
179 train 1:-6.39591121673584 | 2:-6.463806629180908
180 train 1:-6.555531978607178 | 2:-6.614341735839844
181 train 1:-6.636418342590332 | 2:-6.692744255065918
182 train 1:-6.657052516937256 | 2:-6.7105631828308105
183 train 1:-6.618432998657227 | 2:-6.67606782913208
184 train 1:-6.6356353759765625 | 2:-6.658880233764648
185 train 1:-6.516252517700195 | 2:-6.49815034866333
186 train 1:-6.562952995300293 | 2:-6.63604736328125
187 train 1:-6.662133693695068 | 2:-6.690862655639648
188 train 1:-6.640322685241699 | 2:-6.6526899337768555
189 train 1:-6.501634120941162 | 2:-6.580554962158203
190 train 1:-6.765466690063477 | 2:-6.833531379699707
191 train 1:-6.634556770324707 | 2:-6.673431396484375
192 train 1:-6.622074127197266 | 2:-6.672517776489258
193 train 1:-6.663603782653809 | 2:-6.674934387207031
194 train 1:-6.306735038757324 | 2:-6.401615619659424
195 train 1:-6.4819746017456055 | 2:-6.601044178009033
196 train 1:-6.531318187713623 | 2:-6.652721881866455
197 train 1:-6.804627418518066 | 2:-6.818259239196777
198 train 1:-6.594906806945801 | 2:-6.699394226074219
199 train 1:-6.470006942749023 | 2:-6.576093673706055
200 train 1:-6.602022171020508 | 2:-6.671065330505371
201 train 1:-6.835456848144531 | 2:-6.8524980545043945
202 train 1:-6.564723491668701 | 2:-6.675976753234863
203 train 1:-6.411769866943359 | 2:-6.502342224121094
204 train 1:-6.590923309326172 | 2:-6.678112983703613
205 train 1:-6.3294267654418945 | 2:-6.437713623046875
206 train 1:-6.550258159637451 | 2:-6.679925918579102
207 train 1:-6.3010640144348145 | 2:-6.437349319458008
208 train 1:-6.393143177032471 | 2:-6.527435302734375
209 train 1:-6.630800247192383 | 2:-6.665378570556641
210 train 1:-6.733466148376465 | 2:-6.771627426147461
211 train 1:-6.4352898597717285 | 2:-6.552981376647949
212 train 1:-6.7098259925842285 | 2:-6.715099334716797
213 train 1:-6.599420547485352 | 2:-6.700555324554443
214 train 1:-6.274514198303223 | 2:-6.426425457000732
215 train 1:-6.583971977233887 | 2:-6.748350143432617
216 train 1:-6.421590805053711 | 2:-6.587153434753418
217 train 1:-6.537980556488037 | 2:-6.694793701171875
218 train 1:-6.476588249206543 | 2:-6.574570655822754
219 train 1:-6.350024700164795 | 2:-6.442228317260742
220 train 1:-6.384942054748535 | 2:-6.562160015106201
221 train 1:-6.386131286621094 | 2:-6.570789813995361
222 train 1:-6.441346168518066 | 2:-6.61326265335083
223 train 1:-6.322488784790039 | 2:-6.480318546295166
224 train 1:-6.32992696762085 | 2:-6.511180877685547
225 train 1:-6.37224817276001 | 2:-6.574663162231445
226 train 1:-6.251875400543213 | 2:-6.455348491668701
227 train 1:-6.383389472961426 | 2:-6.565293788909912
228 train 1:-6.240239143371582 | 2:-6.434701919555664
229 train 1:-6.361929416656494 | 2:-6.541272163391113
230 train 1:-6.425400733947754 | 2:-6.620052814483643
231 train 1:-6.3436455726623535 | 2:-6.536340713500977
232 train 1:-6.514649391174316 | 2:-6.529318809509277
233 train 1:-6.445440292358398 | 2:-6.542600631713867
234 train 1:-6.404841899871826 | 2:-6.497518539428711
235 train 1:-6.4581427574157715 | 2:-6.6232805252075195
236 train 1:-6.582826614379883 | 2:-6.681069850921631
237 train 1:-6.504886150360107 | 2:-6.610340595245361
238 train 1:-6.459668159484863 | 2:-6.588526725769043
239 train 1:-6.57017707824707 | 2:-6.683372497558594
240 train 1:-6.147846698760986 | 2:-6.343465805053711
241 train 1:-6.452760696411133 | 2:-6.594867706298828
242 train 1:-6.475113391876221 | 2:-6.678166389465332
243 train 1:-6.482460021972656 | 2:-6.634086608886719
244 train 1:-6.261115074157715 | 2:-6.496683120727539
245 train 1:-6.281337738037109 | 2:-6.451347351074219
246 train 1:-6.374781608581543 | 2:-6.549661159515381
247 train 1:-6.285555839538574 | 2:-6.5113115310668945
248 train 1:-6.486067771911621 | 2:-6.618603229522705
249 train 1:-6.514124393463135 | 2:-6.697928428649902
250 val 1:6.47968864440918 | 2:6.596502780914307
250 train 1:-6.557587623596191 | 2:-6.6981048583984375
251 train 1:-6.553339958190918 | 2:-6.688930511474609
252 train 1:-6.202642440795898 | 2:-6.420079231262207
253 train 1:-6.363630771636963 | 2:-6.55403470993042
254 train 1:-6.493900775909424 | 2:-6.6003313064575195
255 train 1:-6.213553428649902 | 2:-6.475013732910156
256 train 1:-6.462459564208984 | 2:-6.6494903564453125
257 train 1:-6.298220157623291 | 2:-6.499683380126953
258 train 1:-6.485943794250488 | 2:-6.682328224182129
259 train 1:-6.401013374328613 | 2:-6.635280132293701
260 train 1:-6.278925895690918 | 2:-6.530183792114258
261 train 1:-6.129873275756836 | 2:-6.353594779968262
262 train 1:-6.145413398742676 | 2:-6.3215413093566895
263 train 1:-6.511035442352295 | 2:-6.669546604156494
264 train 1:-6.269523620605469 | 2:-6.501977920532227
265 train 1:-6.222431182861328 | 2:-6.378283977508545
266 train 1:-6.281246662139893 | 2:-6.516009330749512
267 train 1:-6.151508331298828 | 2:-6.385231018066406
268 train 1:-6.330528736114502 | 2:-6.543950080871582
269 train 1:-5.965888500213623 | 2:-6.2704668045043945
270 train 1:-6.180615425109863 | 2:-6.438149452209473
