1=-8.301189422607422|2=-4.972193717956543|3=-2.984560489654541
1=-8.20292854309082|2=-4.920936107635498|3=-2.9514071941375732
1=-8.268651962280273|2=-4.964724063873291|3=-2.975895643234253
1=-8.190328598022461|2=-4.918508529663086|3=-2.946763038635254
1=-8.209814071655273|2=-4.925754547119141|3=-2.955967426300049
1=-7.974078178405762|2=-4.78868293762207|3=-2.8700180053710938
1=-8.304635047912598|2=-4.986379623413086|3=-2.9929184913635254
1=-7.922359466552734|2=-4.757137298583984|3=-2.858630657196045
1=-8.049152374267578|2=-4.833242416381836|3=-2.9009456634521484
1=-7.999314785003662|2=-4.799008846282959|3=-2.879816770553589
1=-8.208740234375|2=-4.925807952880859|3=-2.954033374786377
1=-7.825814247131348|2=-4.6989593505859375|3=-2.8175323009490967
1=-7.838872909545898|2=-4.712218284606934|3=-2.8251309394836426
1=-8.04344654083252|2=-4.831505298614502|3=-2.895798683166504
1=-7.959607124328613|2=-4.775476455688477|3=-2.861285448074341
1=-7.875887870788574|2=-4.730166435241699|3=-2.8368213176727295
1=-7.8639092445373535|2=-4.719467639923096|3=-2.8315043449401855
1=-7.741083145141602|2=-4.644754409790039|3=-2.7874231338500977
1=-7.839344024658203|2=-4.716809272766113|3=-2.823963165283203
1=-8.288688659667969|2=-4.972553253173828|3=-2.9887681007385254
1=-7.902264595031738|2=-4.7479329109191895|3=-2.851719379425049
1=-7.773557186126709|2=-4.660479545593262|3=-2.795743465423584
1=-7.900603771209717|2=-4.739602565765381|3=-2.847975254058838
1=-7.847695350646973|2=-4.713320732116699|3=-2.8303966522216797
1=-7.884662628173828|2=-4.733724594116211|3=-2.8407673835754395
1=-7.846611976623535|2=-4.705680847167969|3=-2.8216347694396973
1=-8.060612678527832|2=-4.844621658325195|3=-2.908719301223755
1=-7.807149410247803|2=-4.686066627502441|3=-2.80728816986084
1=-7.993410587310791|2=-4.80964469909668|3=-2.880157232284546
1=-7.795645236968994|2=-4.67926025390625|3=-2.8078999519348145
1=-7.723700046539307|2=-4.637378215789795|3=-2.7786455154418945
1=-8.132759094238281|2=-4.8840742111206055|3=-2.9248766899108887
1=-7.707314491271973|2=-4.620978832244873|3=-2.7717137336730957
1=-7.836920738220215|2=-4.6971940994262695|3=-2.8207621574401855
1=-7.737199783325195|2=-4.639653205871582|3=-2.7842001914978027
1=-8.104349136352539|2=-4.862872123718262|3=-2.9212491512298584
1=-7.711199760437012|2=-4.624485015869141|3=-2.777529239654541
1=-7.8790483474731445|2=-4.731776714324951|3=-2.8430559635162354
1=-7.879835605621338|2=-4.730114936828613|3=-2.837064743041992
