    0 val 1:10.84185 | 2:10.85690 | 3:10.88180
    0 train 1:10.84304 | 2:10.85629 | 3:10.87320
    1 train 1:10.80915 | 2:10.82577 | 3:10.81344
    2 train 1:10.77283 | 2:10.76627 | 3:10.75373
    3 train 1:10.72717 | 2:10.72462 | 3:10.68300
    4 train 1:10.68180 | 2:10.66731 | 3:10.60009
    5 train 1:10.65986 | 2:10.62455 | 3:10.57888
    6 train 1:10.63846 | 2:10.60416 | 3:10.47900
    7 train 1:10.61705 | 2:10.55812 | 3:10.41368
    8 train 1:10.62039 | 2:10.52780 | 3:10.38076
    9 train 1:10.61201 | 2:10.50794 | 3:10.34387
   10 train 1:10.58157 | 2:10.42988 | 3:10.27104
   11 train 1:10.58961 | 2:10.46268 | 3:10.27571
   12 train 1:10.54300 | 2:10.36713 | 3:10.10295
   13 train 1:10.52351 | 2:10.33602 | 3:10.06166
   14 train 1:10.52064 | 2:10.31555 | 3:10.03944
   15 train 1:10.52788 | 2:10.25830 | 3:10.03917
   16 train 1:10.38724 | 2:10.02409 | 3:9.65432
   17 train 1:10.47097 | 2:10.14023 | 3:9.96258
   18 train 1:10.55176 | 2:10.33477 | 3:10.26129
   19 train 1:10.45044 | 2:10.08644 | 3:9.94439
   20 train 1:10.42489 | 2:10.06245 | 3:9.87272
   21 train 1:10.38637 | 2:9.95546 | 3:9.88032
   22 train 1:10.38988 | 2:9.96977 | 3:9.86092
   23 train 1:10.38456 | 2:9.97992 | 3:9.87332
   24 train 1:10.36310 | 2:9.93559 | 3:9.80903
   25 train 1:10.32887 | 2:9.92796 | 3:9.81321
   26 train 1:10.29348 | 2:9.79390 | 3:9.63540
   27 train 1:10.27679 | 2:9.80013 | 3:9.63108
   28 train 1:10.26764 | 2:9.79488 | 3:9.65455
   29 train 1:10.23707 | 2:9.75767 | 3:9.64194
   30 train 1:10.24531 | 2:9.75513 | 3:9.62154
   31 train 1:10.22950 | 2:9.73568 | 3:9.55144
   32 train 1:10.19967 | 2:9.72691 | 3:9.52028
   33 train 1:10.15748 | 2:9.61588 | 3:9.45165
