  105 train 1:8.71942 | 2:7.92481 | 3:7.72303
  106 train 1:8.70819 | 2:8.02630 | 3:7.85125
  107 train 1:8.61628 | 2:7.77240 | 3:7.54287
  108 train 1:8.65244 | 2:7.96401 | 3:7.72942
  109 train 1:8.57158 | 2:7.89916 | 3:7.67953
  110 train 1:8.46431 | 2:7.78278 | 3:7.61677
  111 train 1:8.54250 | 2:7.90792 | 3:7.73053
  112 train 1:8.49066 | 2:7.91713 | 3:7.74481
  113 train 1:8.70156 | 2:8.21435 | 3:8.00766
  114 train 1:8.45876 | 2:7.91891 | 3:7.73802
  115 train 1:8.18925 | 2:7.64399 | 3:7.50360
  116 train 1:8.27773 | 2:7.81172 | 3:7.71113
  117 train 1:8.28539 | 2:7.84478 | 3:7.72563
  118 train 1:8.18723 | 2:7.78339 | 3:7.66137
  119 train 1:8.18542 | 2:7.78442 | 3:7.74424
  120 train 1:8.22086 | 2:7.86331 | 3:7.72937
  121 train 1:7.96575 | 2:7.60469 | 3:7.55026
  122 train 1:8.06644 | 2:7.72057 | 3:7.66535
  123 train 1:7.96786 | 2:7.60036 | 3:7.51375
  124 train 1:8.07105 | 2:7.76900 | 3:7.69229
  125 train 1:8.01538 | 2:7.76912 | 3:7.70941
  126 train 1:7.92233 | 2:7.62387 | 3:7.55165
  127 train 1:7.98322 | 2:7.74795 | 3:7.65403
  128 train 1:7.83113 | 2:7.60148 | 3:7.56168
  129 train 1:8.11230 | 2:7.94655 | 3:7.89148
  130 train 1:7.89314 | 2:7.67558 | 3:7.60906
  131 train 1:7.96099 | 2:7.81629 | 3:7.71883
  132 train 1:7.77451 | 2:7.65442 | 3:7.61394
  133 train 1:7.82417 | 2:7.74433 | 3:7.69429
  134 train 1:7.87749 | 2:7.81929 | 3:7.80868
  135 train 1:7.73196 | 2:7.64237 | 3:7.64982
  136 train 1:7.73875 | 2:7.71824 | 3:7.69668
  137 train 1:7.73545 | 2:7.73076 | 3:7.72922
  138 train 1:7.53680 | 2:7.52198 | 3:7.51912
  139 train 1:7.64735 | 2:7.64801 | 3:7.67714
  140 train 1:7.80708 | 2:7.79225 | 3:7.82734
  141 train 1:7.79245 | 2:7.85789 | 3:7.83970
  142 train 1:7.41052 | 2:7.40715 | 3:7.42310
  143 train 1:7.73218 | 2:7.80831 | 3:7.84098
  144 train 1:7.54297 | 2:7.63296 | 3:7.62871
  145 train 1:7.69295 | 2:7.75869 | 3:7.74344
  146 train 1:7.65100 | 2:7.75344 | 3:7.71269
  147 train 1:7.70903 | 2:7.80106 | 3:7.77329
  148 train 1:7.58361 | 2:7.71642 | 3:7.68387
  149 train 1:7.55653 | 2:7.70198 | 3:7.69167
  150 train 1:7.94085 | 2:8.04972 | 3:8.05850
  151 train 1:7.53571 | 2:7.67245 | 3:7.69686
  152 train 1:7.76999 | 2:7.90246 | 3:7.85331
  153 train 1:7.58133 | 2:7.73318 | 3:7.75784
  154 train 1:7.62358 | 2:7.83978 | 3:7.81828
  155 train 1:7.44158 | 2:7.62838 | 3:7.65389
  156 train 1:7.29711 | 2:7.52857 | 3:7.60080
  157 train 1:7.98366 | 2:8.19209 | 3:8.16041
  158 train 1:7.78235 | 2:7.97072 | 3:8.02421
  159 train 1:7.38780 | 2:7.62631 | 3:7.60847
  160 train 1:7.52013 | 2:7.71742 | 3:7.99941
  161 train 1:7.30266 | 2:7.52728 | 3:7.69181
  162 train 1:7.44681 | 2:7.65068 | 3:7.82779
  163 train 1:7.48641 | 2:7.72368 | 3:7.79218
  164 train 1:7.36023 | 2:7.61481 | 3:7.78530
  165 train 1:7.31845 | 2:7.60901 | 3:7.69441
  166 train 1:7.38341 | 2:7.68299 | 3:7.76299
  167 train 1:7.32404 | 2:7.55728 | 3:7.63568
  168 train 1:7.48383 | 2:7.71622 | 3:7.82632
  169 train 1:7.67981 | 2:7.89441 | 3:7.90612
  170 train 1:7.39640 | 2:7.64655 | 3:7.71921
  171 train 1:7.53847 | 2:7.77309 | 3:7.82859
  172 train 1:7.34901 | 2:7.61169 | 3:7.75918
  173 train 1:7.14901 | 2:7.43423 | 3:7.57175
  174 train 1:7.31779 | 2:7.60710 | 3:7.67864
  175 train 1:7.19669 | 2:7.48559 | 3:7.55981
  176 train 1:7.42986 | 2:7.70097 | 3:7.72060
  177 train 1:7.41168 | 2:7.69895 | 3:7.84411
  178 train 1:7.22312 | 2:7.50649 | 3:7.59354
  179 train 1:7.14231 | 2:7.41311 | 3:7.51944
  180 train 1:7.26431 | 2:7.55268 | 3:7.68536
  181 train 1:7.36764 | 2:7.66490 | 3:7.72849
  182 train 1:7.36097 | 2:7.63448 | 3:7.71690
  183 train 1:7.28958 | 2:7.62886 | 3:7.70535
  184 train 1:7.34758 | 2:7.66903 | 3:7.74985
  185 train 1:7.17800 | 2:7.46458 | 3:7.55167
  186 train 1:7.21683 | 2:7.55547 | 3:7.64453
  187 train 1:7.31282 | 2:7.60199 | 3:7.66324
  188 train 1:7.33674 | 2:7.66052 | 3:7.78045
  189 train 1:7.18265 | 2:7.54681 | 3:7.61904
  190 train 1:7.50298 | 2:7.82932 | 3:7.99751
  191 train 1:7.32851 | 2:7.65324 | 3:7.87894
  192 train 1:7.26550 | 2:7.62907 | 3:7.88441
  193 train 1:7.40547 | 2:7.72871 | 3:7.86997
  194 train 1:6.98158 | 2:7.36101 | 3:7.54413
  195 train 1:7.16096 | 2:7.46290 | 3:7.83161
  196 train 1:7.21420 | 2:7.63755 | 3:7.72362
  197 train 1:7.46871 | 2:7.81703 | 3:7.86459
  198 train 1:7.33110 | 2:7.73054 | 3:7.92350
  199 train 1:7.19080 | 2:7.68088 | 3:7.79246
  200 train 1:7.27702 | 2:7.65150 | 3:7.77964
  201 train 1:7.58442 | 2:7.97497 | 3:7.98871
  202 train 1:7.23508 | 2:7.62801 | 3:7.80166
  203 train 1:7.09859 | 2:7.50099 | 3:7.68877
  204 train 1:7.31066 | 2:7.69230 | 3:7.82001
  205 train 1:6.98731 | 2:7.35242 | 3:7.50408
  206 train 1:7.20745 | 2:7.63038 | 3:7.74597
  207 train 1:6.96681 | 2:7.35939 | 3:7.44797
  208 train 1:7.11803 | 2:7.53042 | 3:7.71018
  209 train 1:7.30909 | 2:7.69766 | 3:7.79051
  210 train 1:7.50806 | 2:7.92089 | 3:8.09845
  211 train 1:7.09940 | 2:7.55225 | 3:7.94294
  212 train 1:7.40879 | 2:7.89433 | 3:8.06163
  213 train 1:7.27534 | 2:7.73927 | 3:7.81723
  214 train 1:6.93361 | 2:7.37848 | 3:7.70162
  215 train 1:7.28713 | 2:7.78221 | 3:7.84370
  216 train 1:7.10587 | 2:7.55103 | 3:7.73636
  217 train 1:7.15522 | 2:7.59763 | 3:7.69447
  218 train 1:7.11254 | 2:7.56109 | 3:7.67239
  219 train 1:7.07808 | 2:7.47185 | 3:7.60071
  220 train 1:7.04520 | 2:7.53360 | 3:7.64296
  221 train 1:7.05105 | 2:7.49602 | 3:7.64103
  222 train 1:7.12408 | 2:7.58047 | 3:7.65708
  223 train 1:7.04130 | 2:7.49412 | 3:7.68856
  224 train 1:6.98603 | 2:7.44790 | 3:7.60479
  225 train 1:7.09018 | 2:7.55418 | 3:7.67623
  226 train 1:6.97213 | 2:7.45920 | 3:7.56782
  227 train 1:7.03312 | 2:7.51959 | 3:7.64674
  228 train 1:6.91016 | 2:7.40000 | 3:7.54043
  229 train 1:7.03830 | 2:7.49858 | 3:7.64917
  230 train 1:7.14778 | 2:7.63209 | 3:7.74710
  231 train 1:7.04336 | 2:7.48266 | 3:7.63881
  232 train 1:7.31678 | 2:7.72350 | 3:7.77135
  233 train 1:7.07489 | 2:7.53974 | 3:7.64029
  234 train 1:6.99105 | 2:7.40968 | 3:7.54995
  235 train 1:7.16913 | 2:7.60538 | 3:7.69674
  236 train 1:7.18358 | 2:7.58918 | 3:7.72994
  237 train 1:7.13789 | 2:7.58939 | 3:7.71287
  238 train 1:7.12910 | 2:7.58305 | 3:7.71199
  239 train 1:7.23462 | 2:7.67403 | 3:7.73818
  240 train 1:6.78536 | 2:7.31332 | 3:7.47937
  241 train 1:7.15103 | 2:7.63713 | 3:7.71656
  242 train 1:7.18700 | 2:7.66357 | 3:7.79069
  243 train 1:7.09891 | 2:7.58621 | 3:7.67155
  244 train 1:6.95726 | 2:7.44442 | 3:7.76364
  245 train 1:6.93178 | 2:7.45367 | 3:7.85684
  246 train 1:6.98097 | 2:7.50000 | 3:7.70952
  247 train 1:6.95933 | 2:7.49761 | 3:7.64244
  248 train 1:7.13798 | 2:7.64105 | 3:7.84222
  249 train 1:7.28855 | 2:7.81893 | 3:7.94337
  250 val 1:7.16655 | 2:7.65144 | 3:7.75901
  250 train 1:7.29486 | 2:7.77019 | 3:7.86633
  251 train 1:7.29286 | 2:7.78330 | 3:7.88972
  252 train 1:6.84773 | 2:7.38402 | 3:7.46337
  253 train 1:7.00859 | 2:7.55707 | 3:7.61387
  254 train 1:7.13096 | 2:7.62628 | 3:7.79279
  255 train 1:6.87604 | 2:7.49212 | 3:7.70219
  256 train 1:7.17934 | 2:7.75014 | 3:7.88309
  257 train 1:6.95341 | 2:7.51509 | 3:7.65954
  258 train 1:7.13075 | 2:7.68247 | 3:7.83569
  259 train 1:7.04898 | 2:7.63699 | 3:7.80132
  260 train 1:6.92647 | 2:7.52249 | 3:7.65364
  261 train 1:6.70147 | 2:7.32358 | 3:7.51944
  262 train 1:6.69815 | 2:7.28554 | 3:7.42556
  263 train 1:7.18301 | 2:7.72690 | 3:7.86604
  264 train 1:6.94821 | 2:7.52958 | 3:7.70708
  265 train 1:6.91570 | 2:7.49534 | 3:7.54541
  266 train 1:6.97501 | 2:7.55230 | 3:7.69205
  267 train 1:6.77141 | 2:7.41617 | 3:7.54307
  268 train 1:6.98683 | 2:7.59194 | 3:7.69910
  269 train 1:6.56868 | 2:7.21030 | 3:7.36015
  270 train 1:6.80970 | 2:7.43752 | 3:7.55411
  271 train 1:6.92651 | 2:7.50478 | 3:7.60412
  272 train 1:7.12823 | 2:7.70395 | 3:7.74871
  273 train 1:6.60256 | 2:7.21537 | 3:7.30232
  274 train 1:6.98421 | 2:7.57898 | 3:7.64933
  275 train 1:6.86722 | 2:7.48361 | 3:7.57290
  276 train 1:7.40396 | 2:7.87253 | 3:8.00152
  277 train 1:6.88519 | 2:7.55210 | 3:7.70851
  278 train 1:6.90781 | 2:7.49577 | 3:7.63258
  279 train 1:6.85641 | 2:7.47142 | 3:7.66135
  280 train 1:6.75648 | 2:7.32905 | 3:7.46592
  281 train 1:7.03118 | 2:7.57306 | 3:7.73243
  282 train 1:7.09739 | 2:7.66648 | 3:7.78240
  283 train 1:6.94883 | 2:7.52366 | 3:7.71475
  284 train 1:7.03062 | 2:7.58096 | 3:7.70656
  285 train 1:7.02708 | 2:7.62781 | 3:7.83604
  286 train 1:6.90072 | 2:7.44675 | 3:7.65826
  287 train 1:6.95849 | 2:7.58366 | 3:7.74585
  288 train 1:7.04064 | 2:7.62323 | 3:7.88331
  289 train 1:6.87233 | 2:7.49696 | 3:7.72175
  290 train 1:6.81240 | 2:7.44606 | 3:7.60183
  291 train 1:6.76969 | 2:7.40313 | 3:7.59190
  292 train 1:6.64535 | 2:7.30137 | 3:7.53503
  293 train 1:6.79422 | 2:7.44741 | 3:7.61566
  294 train 1:6.91319 | 2:7.51730 | 3:7.66954
  295 train 1:6.78013 | 2:7.43425 | 3:7.64618
  296 train 1:6.81277 | 2:7.43739 | 3:7.60099
  297 train 1:6.77876 | 2:7.40587 | 3:7.65179
  298 train 1:6.69531 | 2:7.36581 | 3:7.57823
  299 train 1:6.90785 | 2:7.54878 | 3:7.72395
  300 train 1:7.01958 | 2:7.61327 | 3:7.69721
  301 train 1:7.29859 | 2:7.81923 | 3:7.92071
  302 train 1:6.70185 | 2:7.38953 | 3:7.54484
  303 train 1:6.73188 | 2:7.38882 | 3:7.52749
  304 train 1:6.75315 | 2:7.43291 | 3:7.59868
  305 train 1:6.74637 | 2:7.39404 | 3:7.51151
  306 train 1:6.94595 | 2:7.59563 | 3:7.97013
  307 train 1:6.63497 | 2:7.35230 | 3:7.68790
  308 train 1:6.88526 | 2:7.49941 | 3:7.69905
  309 train 1:6.68088 | 2:7.34979 | 3:7.49211
  310 train 1:6.72637 | 2:7.40199 | 3:7.62037
  311 train 1:6.85543 | 2:7.50928 | 3:7.66446
